danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;id;duration_ms
0.512;0.602;-10.217;0.0374;0.621;0.000172;0.0742;0.563;112.901;3BD2hlwoExMUXUpxcYxaWx;191560
0.383;0.417;-12.155;0.0316;0.83;0.00154;0.2;0.584;109.319;0ycb2zVgjpzJU6PSXZGn34;229573
0.642;0.594;-8.422;0.0798;0.804;0.000348;0.22;0.297;67.503;1d9K6lxDNAT8AhcMQIUmBF;269000
0.618;0.167;-17.318;0.079;0.885;5.91e-06;0.1;0.425;72.435;7bedo6yq93lQOa32CUOd7R;242116
0.677;0.506;-7.374;0.0798;0.845;0.0;0.111;0.225;80.032;6nl2ROSpHsDyZnT3YX3Jr6;162000
0.675;0.376;-7.739;0.0642;0.825;0.0;0.105;0.592;83.967;7un5FM27KmkEMpsPQ2T062;187947
0.594;0.571;-8.974;0.119;0.705;0.0;0.134;0.817;91.449;34MFdQwkOK0PKb7atsNndb;201600
0.84;0.936;-5.842;0.104;0.0145;9.68e-05;0.331;0.974;100.002;4EehpGBxUO8tOSvttzTucd;233307
0.749;0.41;-12.421;0.13;0.8;0.00611;0.109;0.419;92.015;10YltyNGUd0v3intS5wKFj;240125
0.726;0.295;-14.504;0.219;0.696;0.000356;0.172;0.138;115.067;4svk9KGtIVSEoeG2VjIUSy;178356
0.442;0.345;-12.269;0.277;0.866;0.0366;0.251;0.343;82.824;5NbdN6rPwkntsk9rdHO4vl;305760
0.87;0.666;-9.939;0.0872;0.567;0.303;0.106;0.847;118.012;5pm9nGzY5b5gp424c6iYZh;150671
0.372;0.0542;-18.745;0.0438;0.967;1.53e-05;0.0738;0.171;72.929;5Va2ImszhfJhRUgayR7ZaP;396973
0.71;0.391;-11.905;0.0471;0.995;0.919;0.283;0.83;100.835;69AErjwYbqFlOZHwIx6wxN;158724
0.393;0.337;-12.143;0.0677;0.868;0.067;0.0988;0.193;79.824;1ik7SbTtr6FyBqe2HHWnfk;266213
0.657;0.737;-8.019;0.0496;0.183;7.75e-06;0.339;0.799;132.16;64o5mOOCjjKpN1r4gmqI0F;339410
0.551;0.144;-13.883;0.0392;0.515;0.0;0.187;0.648;128.122;4Z4eU8yoBtBGIQPQrhCFr2;194307
0.181;0.241;-11.626;0.0309;0.9;2.21e-06;0.0808;0.127;84.693;1vLPTWPfJSIrqOhNUWNfNY;266973
0.259;0.473;-8.275;0.0295;0.592;0.0;0.201;0.539;90.348;74VR3AkGPhbYXnxcOYa16x;157867
0.573;0.602;-5.643;0.0357;0.385;0.0;0.0912;0.684;90.692;6ZsKRsnPsdZvXfqqE6bTPy;198240
0.5;0.391;-6.451;0.0335;0.743;0.0;0.0847;0.539;139.972;7xx7mUGAPcMd6gGqHzoec9;139507
0.507;0.362;-12.331;0.0298;0.723;2.86e-05;0.287;0.362;133.61;6GeWZVrbNw4qOWZYY0VKdQ;187867
0.377;0.337;-7.346;0.0341;0.808;0.0;0.238;0.545;117.316;2o0hVSbnkdvDDKKVNaUxnB;245187
0.278;0.433;-11.554;0.0466;0.3;0.000254;0.111;0.379;169.417;3fPsdxz17Zk7GIOxpGyc8C;247240
0.815;0.372;-7.636;0.215;0.717;0.0;0.0588;0.855;92.747;5ez6STfeeuCyahjmGFmudi;205683
0.701;0.418;-9.135;0.0368;0.421;1.06e-06;0.725;0.648;109.781;6pS1b2mb44tohUH37oKXbc;364253
0.411;0.355;-7.108;0.0291;0.921;3.8e-05;0.111;0.16;101.46;4NADcylvrsRHTsWxb8A9Oo;232211
0.473;0.455;-8.774;0.0339;0.201;0.15;0.142;0.33;82.717;3F2Fp02Tqe5JNDjnLwQXt8;268973
0.745;0.219;-11.216;0.0276;0.851;1.8e-05;0.0678;0.635;88.609;1zNXF2svmdlNxfS5XeNUgr;186251
0.782;0.684;-7.398;0.0759;0.457;0.112;0.437;0.0925;101.999;6gr7Wcb6w0DxDhEpzOp6Ct;270882
0.693;0.918;-8.307;0.088;0.323;0.558;0.392;0.757;176.15;0vTJP35J4M1PY9iAA8UmbV;207401
0.394;0.151;-16.748;0.0359;0.976;0.739;0.0664;0.31;178.051;3jQyadhLTxpxadQlkFh2b8;160240
0.244;0.415;-6.589;0.03;0.39;0.00871;0.188;0.0699;184.318;6TLGmbTgp7hJ7jsDTTHRzw;341000
0.471;0.352;-9.699;0.0391;0.633;2.75e-05;0.115;0.102;118.333;6fracv4du3sDwo1XKcPrkw;282329
0.569;0.314;-8.241;0.0579;0.845;2.03e-05;0.12;0.311;179.332;2JlQOgJZdvQ5YJrVxY13wQ;249560
0.286;0.0847;-9.883;0.0397;0.934;6.94e-06;0.121;0.112;70.743;7sq2z9oX2S0CvgTqCZ0ko4;255987
0.638;0.395;-11.299;0.1;0.724;0.569;0.0761;0.316;78.516;2RcanAJpudPNDkyIe9DzKS;344347
0.714;0.722;-5.837;0.0936;0.164;2.38e-06;0.175;0.628;92.017;4AOUkAWdXPucnYe6GYdZjk;249493
0.734;0.776;-4.193;0.0826;0.0406;0.193;0.0547;0.843;78.542;5MjAFPcmrR1DYCgZrXCN4d;269173
0.788;0.258;-11.758;0.104;0.171;0.00721;0.326;0.335;127.492;5LIwaG8Wl9LfExcmiRQm7J;356493
0.848;0.542;-7.164;0.0539;0.155;7.99e-05;0.0767;0.538;132.038;2NDMLu8ZNrAsAsPAoW5VOx;232773
0.618;0.52;-9.232;0.367;0.719;0.0117;0.146;0.698;144.922;14WC3aPKp9cGWMErF8lkza;147791
0.761;0.197;-9.166;0.0487;0.906;0.0;0.173;0.124;91.952;17XM56nFlQizU5pACaGEx7;260333
0.828;0.325;-12.085;0.0913;0.924;0.0;0.104;0.752;125.922;6Kw7dmfWtu8JzxUq4WcumJ;248467
0.224;0.146;-16.331;0.0338;0.961;0.712;0.113;0.142;94.255;5Zf25eS8E1znm9mez4cGsm;130693
0.678;0.284;-13.395;0.0365;0.909;0.0234;0.117;0.612;130.92;4dnlbvqglDqyuGYjg8rBfc;244632
0.751;0.476;-7.807;0.303;0.764;0.0;0.418;0.394;71.019;39chWt35fC3T8I8qxAiYuB;187125
0.812;0.663;-10.283;0.0636;0.353;0.000236;0.0855;0.707;140.006;2YeKQ7zSBbalFl5K0EpEgH;170125
0.568;0.597;-9.631;0.0405;0.801;0.17;0.309;0.197;105.415;40XwcZVS7Oh7VvBuOWrgkk;273059
0.52;0.0975;-12.513;0.0456;0.946;0.0;0.111;0.319;74.947;1UgYbaqmqRbnJ395pHLwMO;125740
0.607;0.548;-3.453;0.0258;0.471;0.0;0.195;0.827;150.189;5LPlvbxA6bJQHvUW12Mr22;130760
0.613;0.197;-16.88;0.0671;0.941;0.00186;0.129;0.515;90.468;1mctnORtGiapyFxJRuBRFR;185507
0.742;0.52;-8.884;0.0304;0.303;0.115;0.152;0.536;96.041;1lNqQ3ss5PVfu4HbvBhxCN;185452
0.38;0.0179;-22.85;0.033;0.982;0.000532;0.0699;0.0608;70.098;7xXnun1bzRKJsOFjb9M53d;102857
0.497;0.351;-9.048;0.0648;0.777;0.0;0.157;0.234;171.719;5HphhcOuLFWBj9IghbrKJB;184242
0.483;0.129;-20.149;0.0349;0.947;0.145;0.106;0.203;137.35;51Grh1RyUDcMBbpuyUIUHI;161929
0.504;0.286;-14.197;0.0466;0.707;2.55e-06;0.112;0.593;97.916;3QQl3tSiEooVLQvC8IT5EE;140707
0.499;0.0772;-19.147;0.0363;0.97;0.91;0.0933;0.184;65.147;1bp8UwteqcCDV3EgnjsdXC;322667
0.66;0.688;-6.34;0.0564;0.434;0.0;0.489;0.65;118.05;7eQpbVg3tjHmtdOlAHxaTr;249407
0.742;0.384;-8.533;0.043;0.872;0.00305;0.132;0.354;69.006;5AIKwGeFoauI8ckPJVhihk;91505
0.663;0.12;-13.662;0.0344;0.925;0.88;0.115;0.19;80.041;6r0Jqgnd5i92R2cuE0Z1q6;162000
